,Course,Sect,Class,Type,GE,Req,Days,Start,End,Instructor,Location,LCap,ECap,Enrl,Wait,Drop,ICS,Format,Description,Quarter
21,AERO 200,8.0,****,Ind,,,,,,"Faure, P",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
22,AERO 200,9.0,****,Ind,,,,,,"Iscold, P",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
23,AERO 200,10.0,****,Ind,,,,,,"Torres, L",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
24,AERO 215,1.0,2590,Lab,,288.0,MW,12:10 PM,03:00 PM,"Bartal, N",192-0322,24.0,25.0,23.0,0.0,17.0,ICS,in-person,Introduction to Aerospace Design,F
25,AERO 215,2.0,3423,Lab,,288.0,MW,03:10 PM,06:00 PM,"Grimes, J",192-0322,24.0,25.0,24.0,0.0,9.0,ICS,in-person,Introduction to Aerospace Design,F
26,AERO 215,3.0,5149,Lab,,288.0,TR,12:10 PM,03:00 PM,"Wait, D",192-0322,24.0,25.0,28.0,0.0,16.0,ICS,in-person,Introduction to Aerospace Design,F
27,AERO 302,1.0,8294,Lec,,4048.0,MWF,03:10 PM,04:00 PM,"Hiremath, N",180-0101,134.0,54.0,54.0,0.0,5.0,ICS,in-person,Aerospace Fluid Mechanics,F
28,AERO 302,1.0,8294,Lec,,4048.0,MWF,03:10 PM,04:00 PM,"Hiremath, N",180-0101,134.0,54.0,54.0,0.0,5.0,ICS,in-person,Aerospace Fluid Mechanics,F
29,AERO 302,2.0,8295,Lec,,4048.0,MWF,04:10 PM,05:00 PM,"Hiremath, N",180-0101,134.0,54.0,47.0,0.0,6.0,ICS,in-person,Aerospace Fluid Mechanics,F
30,AERO 302,2.0,8295,Lec,,4048.0,MWF,04:10 PM,05:00 PM,"Hiremath, N",180-0101,134.0,54.0,47.0,0.0,6.0,ICS,in-person,Aerospace Fluid Mechanics,F
31,AERO 302,3.0,8296,Lab,,4048.0,T,08:10 AM,11:00 AM,"Gordon, M",041-0139,6.0,18.0,18.0,0.0,2.0,ICS,in-person,Aerospace Fluid Mechanics,F
32,AERO 302,3.0,8296,Lab,,4048.0,T,08:10 AM,11:00 AM,"Gordon, M",041-0139,6.0,18.0,18.0,0.0,2.0,ICS,in-person,Aerospace Fluid Mechanics,F
33,AERO 302,4.0,8297,Lab,,4048.0,T,03:10 PM,06:00 PM,"Bologna, D",041-0139,6.0,18.0,16.0,0.0,6.0,ICS,in-person,Aerospace Fluid Mechanics,F
34,AERO 302,4.0,8297,Lab,,4048.0,T,03:10 PM,06:00 PM,"Bologna, D",041-0139,6.0,18.0,16.0,0.0,6.0,ICS,in-person,Aerospace Fluid Mechanics,F
35,AERO 302,5.0,8298,Lab,,4048.0,T,06:10 PM,09:00 PM,"Slavick, J",041-0139,6.0,18.0,16.0,0.0,0.0,ICS,in-person,Aerospace Fluid Mechanics,F
36,AERO 302,5.0,8298,Lab,,4048.0,T,06:10 PM,09:00 PM,"Slavick, J",041-0139,6.0,18.0,16.0,0.0,0.0,ICS,in-person,Aerospace Fluid Mechanics,F
37,AERO 302,6.0,8299,Lab,,4048.0,R,08:10 AM,11:00 AM,"Westrick, S",041-0139,6.0,18.0,18.0,0.0,1.0,ICS,in-person,Aerospace Fluid Mechanics,F
38,AERO 302,6.0,8299,Lab,,4048.0,R,08:10 AM,11:00 AM,"Westrick, S",041-0139,6.0,18.0,18.0,0.0,1.0,ICS,in-person,Aerospace Fluid Mechanics,F
39,AERO 302,7.0,8300,Lab,,4048.0,R,03:10 PM,06:00 PM,"Diamantopoulos, S",041-0139,6.0,18.0,16.0,0.0,6.0,ICS,in-person,Aerospace Fluid Mechanics,F
40,AERO 302,7.0,8300,Lab,,4048.0,R,03:10 PM,06:00 PM,"Diamantopoulos, S",041-0139,6.0,18.0,16.0,0.0,6.0,ICS,in-person,Aerospace Fluid Mechanics,F
41,AERO 302,8.0,****,Lab,,4048.0,F,09:10 AM,12:00 PM,,041-0139,6.0,18.0,0.0,0.0,0.0,ICS,in-person,Aerospace Fluid Mechanics,F
42,AERO 302,8.0,****,Lab,,4048.0,F,09:10 AM,12:00 PM,,041-0139,6.0,18.0,0.0,0.0,0.0,ICS,in-person,Aerospace Fluid Mechanics,F
43,AERO 302,9.0,8302,Lab,,4048.0,F,12:10 PM,03:00 PM,"Hiremath, N",041-0139,6.0,18.0,17.0,0.0,2.0,ICS,in-person,Aerospace Fluid Mechanics,F
44,AERO 302,9.0,8302,Lab,,4048.0,F,12:10 PM,03:00 PM,"Hiremath, N",041-0139,6.0,18.0,17.0,0.0,2.0,ICS,in-person,Aerospace Fluid Mechanics,F
45,AERO 306,1.0,5151,Lec,,290.0,MW,12:10 PM,02:00 PM,"Marshall, D",192-0106,133.0,50.0,32.0,0.0,1.0,ICS,in-person,Aerodynamics and Flight Performance,F
46,AERO 310,1.0,3400,Lec,BUD,4314.0,MW,08:10 AM,10:00 AM,"Biezad, D",008-0123,150.0,150.0,146.0,0.0,56.0,ICS,in-person,Air and Space,F
47,AERO 310,2.0,5012,Lec,BUD,4314.0,MW,02:10 PM,04:00 PM,"Biezad, D",003-0213,230.0,150.0,144.0,1.0,37.0,ICS,in-person,Air and Space,F
48,AERO 320,1.0,2884,Lec,,4112.0,TR,12:10 PM,02:00 PM,"Deffo, A",008-0123,150.0,130.0,101.0,0.0,5.0,ICS,in-person,Fundamentals of Dynamics and Control,F
49,AERO 321,1.0,7902,Lab,,4049.0,M,09:10 AM,12:00 PM,"Torres, L",192-0322,24.0,19.0,18.0,1.0,2.0,ICS,in-person,"Experimental Sensors, Actuators and Control",F
50,AERO 321,2.0,7903,Lab,,4049.0,T,08:10 AM,11:00 AM,"Torres, L",192-0322,24.0,19.0,19.0,0.0,2.0,ICS,in-person,"Experimental Sensors, Actuators and Control",F
51,AERO 321,3.0,7904,Lab,,4049.0,W,09:10 AM,12:00 PM,"Torres, L",192-0322,24.0,19.0,19.0,0.0,1.0,ICS,in-person,"Experimental Sensors, Actuators and Control",F
52,AERO 321,4.0,7905,Lab,,4049.0,R,08:10 AM,11:00 AM,"Torres, L",192-0322,24.0,19.0,15.0,0.0,3.0,ICS,in-person,"Experimental Sensors, Actuators and Control",F
53,AERO 321,5.0,7906,Lab,,4049.0,F,09:10 AM,12:00 PM,"Torres, L",192-0322,24.0,19.0,16.0,0.0,1.0,ICS,in-person,"Experimental Sensors, Actuators and Control",F
54,AERO 321,6.0,7907,Lab,,4049.0,F,12:10 PM,03:00 PM,"Torres, L",192-0322,24.0,19.0,18.0,1.0,3.0,ICS,in-person,"Experimental Sensors, Actuators and Control",F
55,AERO 351,1.0,5631,Lec,,3401.0,MW,12:10 PM,02:00 PM,"Abercromby, K",003-0213,230.0,80.0,76.0,0.0,5.0,ICS,in-person,Introduction to Orbital Mechanics,F
56,AERO 400,1.0,2092,Ind,,,,,,"Marshall, D",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
57,AERO 400,2.0,****,Ind,,,,,,"Abercromby, K",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
58,AERO 400,3.0,****,Ind,,,,,,"Drake, A",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
59,AERO 400,4.0,****,Ind,,,,,,"Deffo, A",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
60,AERO 400,5.0,****,Ind,,,,,,"DeTurris, D",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
61,AERO 400,6.0,****,Ind,,,,,,"Faure, P",,,10.0,2.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
62,AERO 400,7.0,****,Ind,,,,,,"Marshall, D",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
63,AERO 400,8.0,****,Ind,,,,,,"Iscold, P",,,24.0,0.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
64,AERO 400,9.0,****,Ind,,,,,,"Hiremath, N",,,10.0,3.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
65,AERO 400,10.0,****,Ind,,,,,,"Torres, L",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Advanced Undergraduates,F
66,AERO 401,1.0,1064,Lec,,921.0,MW,08:10 AM,10:00 AM,"Diamantopoulos, S",052-0E03,46.0,40.0,37.0,0.0,0.0,ICS,in-person,Propulsion Systems,F
67,AERO 401,1.0,1064,Lec,,921.0,MW,08:10 AM,10:00 AM,"Diamantopoulos, S",052-0E03,46.0,40.0,37.0,0.0,0.0,ICS,in-person,Propulsion Systems,F
68,AERO 401,2.0,2587,Lab,,921.0,,,,,,,0.0,0.0,0.0,17.0,,asynchronously,Propulsion Systems,F
69,AERO 401,2.0,2587,Lab,,921.0,,,,,,,0.0,0.0,0.0,17.0,,asynchronously,Propulsion Systems,F
70,AERO 401,3.0,4672,Lab,,921.0,,,,,,,0.0,0.0,0.0,17.0,,asynchronously,Propulsion Systems,F
71,AERO 401,3.0,4672,Lab,,921.0,,,,,,,0.0,0.0,0.0,17.0,,asynchronously,Propulsion Systems,F
72,AERO 401,4.0,8303,Lab,,921.0,,,,,,,0.0,0.0,0.0,5.0,,asynchronously,Propulsion Systems,F
73,AERO 401,4.0,8303,Lab,,921.0,,,,,,,0.0,0.0,0.0,5.0,,asynchronously,Propulsion Systems,F
74,AERO 401,5.0,9761,Lab,,921.0,M,06:10 PM,09:00 PM,"Kenworthy, B",041-0144,1.0,20.0,19.0,0.0,1.0,ICS,in-person,Propulsion Systems,F
75,AERO 401,5.0,9761,Lab,,921.0,M,06:10 PM,09:00 PM,"Kenworthy, B",041-0144,1.0,20.0,19.0,0.0,1.0,ICS,in-person,Propulsion Systems,F
76,AERO 401,6.0,9762,Lab,,921.0,W,06:10 PM,09:00 PM,"Kenworthy, B",041-0144,1.0,20.0,18.0,0.0,0.0,ICS,in-person,Propulsion Systems,F
77,AERO 401,6.0,9762,Lab,,921.0,W,06:10 PM,09:00 PM,"Kenworthy, B",041-0144,1.0,20.0,18.0,0.0,0.0,ICS,in-person,Propulsion Systems,F
78,AERO 402,1.0,4443,Lec,,3484.0,MW,10:10 AM,12:00 PM,"Saucier, W",052-0E27,102.0,71.0,66.0,0.0,1.0,ICS,in-person,Spacecraft Propulsion Systems,F
79,AERO 402,1.0,4443,Lec,,3484.0,MW,10:10 AM,12:00 PM,"Saucier, W",052-0E27,102.0,71.0,66.0,0.0,1.0,ICS,in-person,Spacecraft Propulsion Systems,F
80,AERO 402,2.0,5496,Lab,,3484.0,T,12:10 PM,03:00 PM,"Newey, W",041-0144,1.0,17.0,17.0,0.0,2.0,ICS,in-person,Spacecraft Propulsion Systems,F
81,AERO 402,2.0,5496,Lab,,3484.0,T,12:10 PM,03:00 PM,"Newey, W",041-0144,1.0,17.0,17.0,0.0,2.0,ICS,in-person,Spacecraft Propulsion Systems,F
82,AERO 402,3.0,4444,Lab,,3484.0,R,12:10 PM,03:00 PM,"Newey, W",041-0144,1.0,17.0,12.0,0.0,5.0,ICS,in-person,Spacecraft Propulsion Systems,F
83,AERO 402,3.0,4444,Lab,,3484.0,R,12:10 PM,03:00 PM,"Newey, W",041-0144,1.0,17.0,12.0,0.0,5.0,ICS,in-person,Spacecraft Propulsion Systems,F
84,AERO 402,4.0,4553,Lab,,3484.0,T,08:10 AM,11:00 AM,"Bartal, N",041-0144,1.0,20.0,20.0,1.0,0.0,ICS,in-person,Spacecraft Propulsion Systems,F
85,AERO 402,4.0,4553,Lab,,3484.0,T,08:10 AM,11:00 AM,"Bartal, N",041-0144,1.0,20.0,20.0,1.0,0.0,ICS,in-person,Spacecraft Propulsion Systems,F
86,AERO 402,5.0,5022,Lab,,3484.0,R,03:10 PM,06:00 PM,"Fuller, C",041-0144,1.0,17.0,17.0,1.0,5.0,ICS,in-person,Spacecraft Propulsion Systems,F
87,AERO 402,5.0,5022,Lab,,3484.0,R,03:10 PM,06:00 PM,"Fuller, C",041-0144,1.0,17.0,17.0,1.0,5.0,ICS,in-person,Spacecraft Propulsion Systems,F
88,AERO 406,1.0,9706,Lec,,294.0,TR,05:10 PM,06:00 PM,"Sanchez, D",192-0321,24.0,25.0,7.0,0.0,3.0,ICS,in-person,Applied Computational Fluid Dynamics,F
89,AERO 406,1.0,9706,Lec,,294.0,TR,05:10 PM,06:00 PM,"Sanchez, D",192-0321,24.0,25.0,7.0,0.0,3.0,ICS,in-person,Applied Computational Fluid Dynamics,F
90,AERO 406,2.0,9716,Lab,,294.0,TR,06:10 PM,09:00 PM,"Sanchez, D",192-0321,24.0,25.0,7.0,0.0,3.0,ICS,in-person,Applied Computational Fluid Dynamics,F
91,AERO 406,2.0,9716,Lab,,294.0,TR,06:10 PM,09:00 PM,"Sanchez, D",192-0321,24.0,25.0,7.0,0.0,3.0,ICS,in-person,Applied Computational Fluid Dynamics,F
92,AERO 425,1.0,5047,Lec,,1503.0,TR,12:10 PM,02:00 PM,"Iscold, P",005-0226,36.0,30.0,29.0,0.0,1.0,ICS,in-person,Aircraft Performance,F
93,AERO 433,1.0,2953,Lab,,296.0,T,08:10 AM,11:00 AM,"Paton, E",041-0136,24.0,15.0,15.0,11.0,6.0,ICS,in-person,Experimental Stress Analysis,F
94,AERO 433,2.0,5764,Lab,,296.0,R,12:10 PM,03:00 PM,"Paton, E",041-0136,24.0,15.0,15.0,3.0,6.0,ICS,in-person,Experimental Stress Analysis,F
95,AERO 433,3.0,6490,Lab,,296.0,F,09:10 AM,12:00 PM,"Paton, E",041-0136,24.0,15.0,16.0,11.0,8.0,ICS,in-person,Experimental Stress Analysis,F
96,AERO 443,1.0,3418,Lab,,1802.0,MWF,12:10 PM,03:00 PM,"Drake, A",192-0327,24.0,20.0,18.0,0.0,4.0,ICS,in-person,Aircraft Design I,F
97,AERO 443,2.0,4657,Lab,,1802.0,MWF,03:10 PM,06:00 PM,"Drake, A",192-0327,24.0,20.0,17.0,0.0,0.0,ICS,in-person,Aircraft Design I,F
98,AERO 447,1.0,3905,Lab,,1803.0,MWF,12:10 PM,03:00 PM,"Faure, P",192-0323,24.0,40.0,40.0,0.0,5.0,ICS,in-person,Spacecraft Design I,F
99,AERO 447,2.0,3904,Lab,,1803.0,MWF,03:10 PM,06:00 PM,"Faure, P",192-0323,24.0,40.0,26.0,0.0,1.0,ICS,in-person,Spacecraft Design I,F
100,AERO 452,1.0,3655,Lec,,1804.0,TR,12:10 PM,02:00 PM,"Abercromby, K",192-0242,36.0,35.0,31.0,0.0,5.0,ICS,in-person,Spaceflight Dynamics II,F
101,AERO 460,1.0,8305,Lec,,271.0,R,09:10 AM,10:00 AM,"Wait, D",003-0213,230.0,50.0,49.0,0.0,4.0,ICS,in-person,Aerospace Engineering Professional Preparation,F
102,AERO 460,2.0,8306,Lec,,271.0,R,10:10 AM,11:00 AM,"Wait, D",003-0213,230.0,50.0,52.0,0.0,5.0,ICS,in-person,Aerospace Engineering Professional Preparation,F
103,AERO 465,1.0,4307,Lab,,3485.0,T,03:10 PM,06:00 PM,"Diamantopoulos, S",192-0322,24.0,25.0,16.0,0.0,4.0,ICS,in-person,Aerospace Systems Senior Laboratory,F
104,AERO 465,2.0,5831,Lab,,3485.0,,,,,,,0.0,0.0,0.0,2.0,,asynchronously,Aerospace Systems Senior Laboratory,F
105,AERO 493,1.0,8150,Ind,COOP,269.0,,,,"Marshall, D",,,10.0,0.0,0.0,0.0,,asynchronously,Cooperative Education Experience,F
106,AERO 493,2.0,8164,Ind,COOP,269.0,,,,"Abercromby, K",,,10.0,0.0,0.0,0.0,,asynchronously,Cooperative Education Experience,F
107,AERO 500,1.0,1065,Ind,,,,,,"Marshall, D",,,10.0,0.0,0.0,0.0,,asynchronously,Individual Study,F
108,AERO 500,2.0,****,Ind,,,,,,"DeTurris, D",,,10.0,0.0,0.0,0.0,,asynchronously,Individual Study,F
109,AERO 500,3.0,****,Ind,,,,,,"Abercromby, K",,,10.0,0.0,0.0,0.0,,asynchronously,Individual Study,F
110,AERO 500,4.0,****,Ind,,,,,,"Deffo, A",,,10.0,0.0,0.0,0.0,,asynchronously,Individual Study,F
111,AERO 500,5.0,****,Ind,,,,,,"Drake, A",,,10.0,0.0,0.0,0.0,,asynchronously,Individual Study,F
112,AERO 500,6.0,****,Ind,,,,,,"Hiremath, N",,,10.0,0.0,0.0,0.0,,asynchronously,Individual Study,F
113,AERO 500,7.0,****,Ind,,,,,,"Marshall, D",,,10.0,0.0,0.0,0.0,,asynchronously,Individual Study,F
114,AERO 500,8.0,****,Ind,,,,,,"Faure, P",,,10.0,2.0,0.0,0.0,,asynchronously,Individual Study,F
115,AERO 500,9.0,****,Ind,,,,,,"Iscold, P",,,10.0,0.0,0.0,0.0,,asynchronously,Individual Study,F
116,AERO 500,10.0,****,Ind,,,,,,"Torres, L",,,10.0,0.0,0.0,0.0,,asynchronously,Individual Study,F
117,AERO 513,1.0,8307,Lec,,4338.0,TR,04:10 PM,06:00 PM,"Drake, A",192-0242,36.0,30.0,21.0,0.0,2.0,ICS,in-person,Applications of Unmanned Aircraft Systems,F
118,AERO 534,1.0,7930,Lec,,346.0,TR,09:40 AM,11:00 AM,"Deffo, A",052-0E26,40.0,30.0,10.0,0.0,1.0,ICS,in-person,Aerospace Structural Dynamics Analysis,F
119,AERO 534,1.0,7930,Lec,,346.0,TR,09:40 AM,11:00 AM,"Deffo, A",052-0E26,40.0,30.0,10.0,0.0,1.0,ICS,in-person,Aerospace Structural Dynamics Analysis,F
120,AERO 534,2.0,7931,Lab,,346.0,F,09:10 AM,12:00 PM,"Deffo, A",192-0321,24.0,30.0,10.0,0.0,1.0,ICS,in-person,Aerospace Structural Dynamics Analysis,F
121,AERO 534,2.0,7931,Lab,,346.0,F,09:10 AM,12:00 PM,"Deffo, A",192-0321,24.0,30.0,10.0,0.0,1.0,ICS,in-person,Aerospace Structural Dynamics Analysis,F
122,AERO 599,1.0,2096,Ind,,346.0,,,,"Marshall, D",,,10.0,0.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
123,AERO 599,2.0,2095,Ind,,346.0,,,,"Abercromby, K",,,10.0,8.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
124,AERO 599,3.0,3855,Ind,,346.0,,,,"DeTurris, D",,,10.0,0.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
125,AERO 599,4.0,2692,Ind,,346.0,,,,"Drake, A",,,10.0,2.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
126,AERO 599,6.0,2500,Ind,,346.0,,,,"Torres, L",,,10.0,0.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
127,AERO 599,7.0,1069,Ind,,346.0,,,,"Marshall, D",,,10.0,2.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
128,AERO 599,8.0,1070,Ind,,346.0,,,,"Mehiel, E",,,10.0,3.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
129,AERO 599,9.0,1071,Ind,,346.0,,,,"Deffo, A",,,10.0,1.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
130,AERO 599,10.0,4426,Ind,,346.0,,,,"Faure, P",,,10.0,5.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
131,AERO 599,11.0,4615,Ind,,346.0,,,,"Iscold, P",,,10.0,3.0,0.0,0.0,,asynchronously,Thesis (Design Project),F
0,AGB 101,1.0,1133,Lec,,3274.0,MW,10:10 AM,12:00 PM,"Hamilton, L",042-0205E,70.0,60.0,61.0,1.0,8.0,ICS,in-person,Introduction to Agribusiness,F
1,AGB 101,2.0,4521,Lec,,3274.0,MW,02:10 PM,04:00 PM,"Hamilton, L",014-0249,84.0,60.0,60.0,1.0,4.0,ICS,in-person,Introduction to Agribusiness,F
2,AGB 101,3.0,8020,Lec,,3274.0,MW,04:10 PM,06:00 PM,"Hamilton, L",014-0249,84.0,60.0,36.0,0.0,10.0,ICS,in-person,Introduction to Agribusiness,F
3,AGB 202,1.0,7165,Lec,,,TR,04:10 PM,06:00 PM,"Sawyer, D",034-0227,66.0,60.0,44.0,1.0,6.0,ICS,in-person,Introduction to Sales,F
4,AGB 202,2.0,9162,Lec,,,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Introduction to Sales,F
5,AGB 202,3.0,9293,Lec,,,TR,09:10 AM,11:00 AM,"Judge, M",038-0204,50.0,50.0,49.0,1.0,6.0,ICS,in-person,Introduction to Sales,F
6,AGB 212,1.0,4591,Lec,,,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agricultural Economics,F
7,AGB 212,2.0,****,Lec,,,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agricultural Economics,F
8,AGB 212,3.0,8947,Lec,,,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agricultural Economics,F
9,AGB 212,4.0,9288,Lec,,,MW,02:10 PM,04:00 PM,"MacDougall, N",052-0E03,46.0,40.0,32.0,0.0,21.0,ICS,in-person,Agricultural Economics,F
10,AGB 212,5.0,9290,Lec,,,TR,12:10 PM,02:00 PM,"Rudi Polloshka, J",010-0226,43.0,40.0,40.0,5.0,6.0,ICS,in-person,Agricultural Economics,F
11,AGB 214,1.0,4465,Lec,,4220.0,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agribusiness Financial Accounting,F
12,AGB 214,1.0,4465,Lec,,4220.0,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agribusiness Financial Accounting,F
13,AGB 214,2.0,8954,Act,,4220.0,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agribusiness Financial Accounting,F
14,AGB 214,2.0,8954,Act,,4220.0,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agribusiness Financial Accounting,F
15,AGB 214,3.0,8955,Lec,,4220.0,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agribusiness Financial Accounting,F
16,AGB 214,3.0,8955,Lec,,4220.0,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agribusiness Financial Accounting,F
17,AGB 214,4.0,8956,Act,,4220.0,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agribusiness Financial Accounting,F
18,AGB 214,4.0,8956,Act,,4220.0,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agribusiness Financial Accounting,F
19,AGB 214,5.0,9325,Lec,,4220.0,MW,07:40 AM,09:00 AM,"Slayter, E",010-0206,1.0,40.0,39.0,1.0,17.0,ICS,in-person,Agribusiness Financial Accounting,F
20,AGB 214,5.0,9325,Lec,,4220.0,MW,07:40 AM,09:00 AM,"Slayter, E",010-0206,1.0,40.0,39.0,1.0,17.0,ICS,in-person,Agribusiness Financial Accounting,F
21,AGB 214,6.0,9326,Act,,4220.0,MW,09:10 AM,10:00 AM,"Slayter, E",010-0203,20.0,40.0,39.0,1.0,17.0,ICS,in-person,Agribusiness Financial Accounting,F
22,AGB 214,6.0,9326,Act,,4220.0,MW,09:10 AM,10:00 AM,"Slayter, E",010-0203,20.0,40.0,39.0,1.0,17.0,ICS,in-person,Agribusiness Financial Accounting,F
23,AGB 214,7.0,9327,Lec,,4220.0,TR,05:40 PM,07:00 PM,"Ryan, M",010-0221,45.0,40.0,36.0,1.0,19.0,ICS,in-person,Agribusiness Financial Accounting,F
24,AGB 214,7.0,9327,Lec,,4220.0,TR,05:40 PM,07:00 PM,"Ryan, M",010-0221,45.0,40.0,36.0,1.0,19.0,ICS,in-person,Agribusiness Financial Accounting,F
25,AGB 214,8.0,9331,Act,,4220.0,W,06:10 PM,08:00 PM,"Ryan, M",010-0203,20.0,40.0,36.0,1.0,19.0,ICS,in-person,Agribusiness Financial Accounting,F
26,AGB 214,8.0,9331,Act,,4220.0,W,06:10 PM,08:00 PM,"Ryan, M",010-0203,20.0,40.0,36.0,1.0,19.0,ICS,in-person,Agribusiness Financial Accounting,F
27,AGB 260,1.0,3153,Lec,,,,,,,,,0.0,0.0,0.0,0.0,,asynchronously,Agribusiness Data Literacy,F
